run,family,initialization,seed,parameters,gflops,epochs_completed,best_validation_epoch,validation_mAP50,validation_mAP50-95,test_mAP50,test_mAP50-95,test_precision,test_recall,weights_mb
yolov5n_pretrained_seed42,yolov5,pretrained,42,1769329,4.2,434,432,0.55622,0.38943,0.4550426663997821,0.30766235372091283,0.618219795242007,0.42499819624819624,3.896943
yolov5n_scratch_seed42,yolov5,scratch,42,1769329,4.2,600,500,0.51395,0.33433,0.42571013288838383,0.2622916462514079,0.5224545226512335,0.4125742084075417,3.896943
yolo26n_pretrained_seed42,yolo26,pretrained,42,2505360,5.8,214,114,0.5635,0.42183,0.44497356272116045,0.3117011109174489,0.5754413961148448,0.406300338492275,5.414661
yolo26n_scratch_seed42,yolo26,scratch,42,2505360,5.8,273,173,0.48201,0.34819,0.38211305516793315,0.24498210654949037,0.5812829094753664,0.33691835589548325,5.431365
